Imaged	Individual	Seg.ID	Seg	Scac	Sp.sum	Stb.sum	Region	Population	Latitude	Longitude	Year	Month
Sep-20	NI1	NI1.9	9	32	21	70	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI12	NI12.9	9	27	28	100	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI15	NI15.9	9	18	23	102	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI18	NI18.9	9	32	20	80	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI21	NI21.9	9	30	19	76	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI24	NI24.9	9	51	29	96	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI27	NI27.9	9	2	23	81	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI3	NI3.9	9	24	22	93	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI30	NI30.9	9	25	22	86	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI33	NI33.9	9	0	10	64	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI36	NI36.9	9	39	21	98	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI39	NI39.9	9	27	17	94	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI42	NI42.9	9	32	26	88	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI45	NI45.9	9	29	22	79	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI48	NI48.9	9	35	19	94	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI51	NI51.9	9	34	34	94	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI54	NI54.9	9	40	23	77	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI6	NI6.9	9	33	33	56	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI9	NI9.9	9	41	18	70	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI1	NI1.10	10	28	31	82	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI12	NI12.10	10	19	39	97	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI15	NI15.10	10	16	29	111	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI18	NI18.10	10	16	31	106	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI21	NI21.10	10	0	12	91	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI24	NI24.10	10	24	31	118	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI27	NI27.10	10	4	23	112	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI3	NI3.10	10	17	48	113	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI30	NI30.10	10	21	32	101	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI33	NI33.10	10	0	9	90	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI36	NI36.10	10	27	38	119	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI39	NI39.10	10	20	28	116	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI42	NI42.10	10	24	21	91	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI45	NI45.10	10	22	31	113	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI48	NI48.10	10	22	22	134	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI51	NI51.10	10	26	44	122	North	Belfast	54.542485	-5.983516	2020	2
