Imaged	Individual	Seg.ID	Seg	Scac	Sp.sum	Stb.sum	Population	Origin	Latitude	Longitude	Year	Month
Sep-20	EXCB-260	EXCB-260-L.10	10	27	32	114	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB-260	EXCB-260-L.9	9	42	18	79	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB1-N331	EXCB1-N331.10	10	25	52	102	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB1-N331	EXCB1-N331.9	9	40	31	96	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB2-149	EXCB2-149.10	10	23	45	119	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB2-149	EXCB2-149.9	9	33	25	88	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB2-152	EXCB2-152.10	10	19	30	79	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB2-152	EXCB2-152.9	9	0	30	81	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB2-185	EXCB2-185.10	10	6	45	99	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB2-185	EXCB2-185.9	9	8	30	91	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB2-218	EXCB2-218.10	10	9	36	115	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB2-218	EXCB2-218.9	9	26	22	83	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	EXCB3-227-RR	EXCB3-227-RR.10	10	27	43	117	Migdale-Knepp	Migdale	55.413044	-1.729639	2020	8
Sep-20	EXCB3-227-RR	EXCB3-227-RR.9	9	41	28	97	Migdale-Knepp	Migdale	55.413044	-1.729639	2020	8
